week,price0,share0,price_othmkt0,price1,share1,price_othmkt1,price2,share2,price_othmkt2,price3,share3,price_othmkt3
1304,1.0231566,.033980582,.81843138,1.338137,.74757284,1.3696431,1.0382603,.09223301,1.2750032,.96653295,.1262136,1.2353995
1305,.9961493,.010869565,.84894091,1.3651124,.5380435,1.4023743,.95630109,.32065219,1.2932614,.96636325,.13043478,1.2677414
1306,.949431,.037974682,.85359746,1.3608054,.67510551,1.4243044,1.0353241,.17721519,1.3166485,1.0097399,.10970464,1.3027532
1307,.94387972,.041152265,.8449561,1.372846,.34156379,1.4107224,.99623317,.45679012,1.3520926,1.0428568,.16049382,1.34878
1308,.94364494,.07692308,.85258728,1.3749676,.73755658,1.3582766,1.0457138,.1040724,1.3468951,1.1207786,.081447966,1.3782139
1309,.95632696,.036789298,.84741277,1.3749676,.45484951,1.4384367,1.0099998,.11705685,1.2819729,1.0662333,.39130434,1.3841662
1310,.993783,.075098813,.88335723,1.3765672,.486166,1.4886017,.96324652,.37549406,1.3285846,1.1090903,.063241109,1.4038885
1311,1.0032365,.066371679,.88554579,1.3739971,.79646015,1.4788067,1.0029868,.10176991,1.3300844,1.1363629,.03539823,1.407582
1312,1.0167651,.020442931,.89025223,1.382961,.86882454,1.4914016,.97506464,.08688245,1.2005743,1.1207786,.023850085,1.4307212
1313,1.0203404,.061538462,.88855416,1.3845339,.68717951,1.4978188,1.0158436,.14871795,1.2756325,1.1057137,.1025641,1.4409087
1314,1.0281925,.055319149,.89921468,1.3708302,.61702126,1.5007544,.99246728,.2,1.2927508,1.0496383,.12765957,1.4418745
1315,1.0294118,.023411371,.89902776,1.3673661,.44481605,1.504787,1.0031322,.45484951,1.2929718,1.048333,.07692308,1.4361861
1316,1.0358872,.02616279,.89863914,1.3690437,.37790698,1.5023447,.90273792,.52325583,1.2930033,1.048333,.072674416,1.4352937
1317,1.0400243,.01754386,.91107756,1.3708553,.77894735,1.4595739,1.0229757,.068421051,1.2883556,1.0054759,.13508771,1.4352937
1318,1.0375429,.024038462,.91267967,1.2512137,.88461536,1.4580843,1.0458328,.057692308,1.2875808,1.0411901,.033653848,1.4352937
1319,1.0268188,.078048781,.91168565,1.3501986,.64390242,1.4432043,.99511874,.087804876,1.2876432,1.048333,.1902439,1.4352937
1320,1.0221401,.004950495,.91653854,1.2829033,.45544556,1.3874416,.99571395,.50825083,1.2878517,1.0476187,.031353135,1.4352937
1321,1.0150434,.041666668,.93298906,1.3557045,.62121212,1.3809814,.99583298,.28409091,1.2879704,1.1303566,.053030305,1.4352937
1322,1.016917,.034246575,.94251937,1.3698786,.28310502,1.3867365,.99583298,.6438356,1.2787261,1.1372613,.038812786,1.4352937
1323,1.0144387,.043918919,.9129985,1.3683363,.6081081,1.4559249,.93511879,.3141892,1.2341303,1.0963328,.033783782,1.4379196
1324,1.0131905,.033670034,.92754221,1.3665596,.4848485,1.4696013,.98499972,.087542087,1.2977834,.99175775,.39393941,1.4478568
1325,1.0267211,.011976048,.88519651,1.3494271,.94970059,1.445353,1.001333,.015568863,1.2911329,1.027472,.02275449,1.4494441
1326,1.0289979,.013192612,.90866244,1.3447225,.82585752,1.4639422,1.0023073,.026385223,1.288119,1.0031863,.13456464,1.4494441
1327,1.0289979,.057591625,.90409434,1.353991,.71204191,1.4682343,1.0023073,.083769634,1.2922957,1.0603292,.14659686,1.4303963
1328,1.0259209,.012345679,.95302063,1.2915721,.52160496,1.4607494,1.0029666,.046296295,1.0967054,1.0971423,.41975307,1.4210312
1329,1.025408,.01923077,.96649009,1.3496006,.59615386,1.4514112,.98725241,.086538464,1.1883781,1.0751643,.29807693,1.4195232
1330,1.025408,.025641026,.98250616,1.3631972,.58241761,1.4712979,.89934045,.2820513,1.2041645,1.0707687,.10989011,1.4227772
1331,1.0245147,.080882356,.97662187,1.3744252,.38235295,1.4786947,.99977994,.073529415,1.1384255,1.0001508,.46323529,1.4180946
1332,.96580863,.054945055,.98467803,1.3740784,.69230771,1.4527401,1.0184612,.08791209,1.2333812,1.0422792,.16483517,1.4124597
1333,1.0146146,.068571426,.98677683,1.3808885,.69714284,1.4771944,1.0270326,.085714288,1.2680558,1.0307474,.14857143,1.4159517
1334,1.0111696,.012552301,.98830521,1.2901932,.8242678,1.4396852,.98999971,.016736401,1.0789297,1.0078993,.14644352,1.3480947
1335,1.0238016,.028571429,.98826146,1.3666478,.73714286,1.4844718,.98999971,.12571429,1.1807858,1.045189,.10857143,1.409047
1336,1.0243758,.055172414,.99019563,1.3782914,.71034485,1.4950244,1.0269228,.10344828,1.0965023,1.0297018,.13103448,1.4211105
1337,1.0197823,.096551724,.9961912,1.3775851,.62758619,1.4823488,1.0649447,.089655176,1.1459764,1.0260243,.18620689,1.4211105
1338,.99222124,.066945605,.99782574,1.3748103,.74476987,1.4780422,.99439538,.10878661,1.0587856,1.0260243,.079497911,1.4211105
1339,.99222124,.055837564,.98053324,1.3747073,.56345177,1.450648,.95032942,.29949239,1.1554431,1.0260243,.081218272,1.4134915
1340,.99222124,.073170729,.97995096,1.3680984,.73658538,1.4932415,.98274702,.13658537,1.1077785,1.0260243,.053658538,1.4122216
1341,1.0197823,.0047846888,.99720025,1.3813816,.24401914,1.4797953,.98065913,.72727275,1.283047,1.0309565,.023923445,1.3993437
1342,1.0180031,.045454547,.98081607,1.399186,.55844158,1.4157144,1.0154942,.21428572,1.3141057,1.0295089,.18181819,1.398592
1343,1.0169411,.050561797,.98388338,1.4017791,.69101125,1.4485874,1.0215383,.14044943,1.3142464,1.0486084,.11797753,1.4021318
1344,1.0173782,.036649216,.97752702,1.402344,.71727747,1.4482381,1.0221976,.19895288,1.3040296,1.0632623,.047120418,1.4170958
1345,1.0174495,.032520324,.97023523,1.3348043,.83333331,1.4649861,1.0223074,.069105692,1.3025073,1.0051891,.065040648,1.429642
1346,1.0174495,.027027028,.97009307,1.3975732,.58378381,1.4830304,1.040769,.23783784,1.3075014,.99206179,.15135135,1.4365902
1347,1.0174495,.062068965,.97822231,1.4061217,.65517241,1.4900039,1.1471424,.075862072,1.3179464,1.0137142,.20689656,1.4374293
1348,1.0174495,.041775458,.98099387,1.4050713,.81984335,1.4955895,1.174615,.031331591,1.3269588,1.0008457,.10704961,1.4170555
1349,1.0174495,.047445256,.97189808,1.3233376,.83576643,1.5094451,1.1752743,.02189781,1.331756,.97995609,.094890513,1.4065579
1350,1.0252835,.046025105,.97896695,1.3921635,.54811716,1.5409195,1.155604,.26778242,1.3421841,.99068016,.13807531,1.3940977
1351,1.0265602,.055214725,.9801057,1.4022979,.75460124,1.5551312,1.1724995,.10429448,1.342865,1.1856408,.08588957,1.3558152
1352,1.0265602,.028340081,.98031187,1.4115655,.42105263,1.5242813,1.1323073,.18623482,1.3566514,1.0327175,.36437246,1.2847493
1353,1.0352759,.073033705,.98914152,1.4161624,.70786518,1.5740575,1.1553842,.084269665,1.3429826,1.1444905,.13483146,1.4084079
1354,1.0352759,.038805969,.99543136,1.4098648,.40895522,1.5797433,1.1561534,.05074627,1.3397751,1.1444905,.50149256,1.4134346
1355,1.0352759,.07109005,1.0043783,1.4159123,.65402842,1.5332543,1.1528567,.17535545,1.3787514,1.1444905,.09952607,1.4164507
1356,1.0352759,.029220778,1.0102795,1.4162033,.37012988,1.5677153,1.1461533,.27272728,1.3616425,1.0500288,.32792208,1.4281074
1357,1.0352759,.0070422534,1.0102795,1.4125605,.38380283,1.5534928,1.0476921,.57394367,1.4520757,1.1421865,.035211269,1.4288056
1358,1.0299075,.045592707,1.0038127,1.2991332,.87234044,1.5213104,1.218461,.051671732,1.3893867,1.1498852,.030395137,1.4101394
1359,1.008763,.04255319,1.0040401,1.3832377,.54787236,1.5491596,1.1576186,.29255319,1.4379394,1.1370326,.11702128,1.4101394
1360,.99331576,.098214284,1.0037068,1.3743142,.56696427,1.5294201,1.1855948,.12946428,1.4356934,1.1568655,.20535715,1.4101394
1361,1.0002201,.072463766,1.003243,1.3518046,.69082123,1.4740177,1.2215381,.13043478,1.4003524,1.1677237,.10628019,1.4087036
1362,1.0132469,.085714288,.99666137,1.3131377,.70204079,1.5167091,1.2107688,.10612245,1.3792137,1.1711128,.10612245,1.4256747
1363,1.0282403,.08994709,.93030685,1.3275914,.7037037,1.5136571,1.2346148,.095238097,1.3785532,1.2570941,.11111111,1.4261533
1364,1.0228854,.052980132,.98171842,1.322154,.86754966,1.5230217,1.2230763,.052980132,1.463834,1.2592597,.026490066,1.418715
1365,1.0360564,.016363636,.94917899,1.3491603,.91818184,1.4388728,1.2230763,.030909091,1.4749317,1.2433064,.034545455,1.3964396
1366,1.0458968,.049469966,.93974626,1.382177,.40636042,1.5089298,1.1276919,.46996465,1.4730821,1.203423,.074204944,1.4215472
1367,1.0458968,.030456852,.95469654,1.3588924,.51776648,1.4773788,1.1769226,.11167513,1.4735445,1.1735368,.34010151,1.4311196
1368,1.0458968,.019417476,.9565571,1.3188525,.83495146,1.5429181,1.183516,.067961164,1.4499618,1.2133179,.077669904,1.4215472
1369,1.0458968,.10096154,.96499676,1.3461555,.75,1.5328052,1.142307,.081730768,1.3879994,1.2727389,.067307696,1.4461763
1370,1.0458968,.047781572,.98347574,1.3501652,.8566553,1.4810117,1.142307,.061433446,1.4958062,1.2756,.034129694,1.4461763
1371,1.0533935,.047970481,.98485768,1.352457,.42804429,1.541918,1.0769227,.48339483,1.5026762,1.2766006,.040590405,1.4461763
1372,1.0533935,.03233831,.97466791,1.2908479,.75373137,1.5290989,1.1469223,.18905473,1.2040858,1.2812036,.024875622,1.4329802
1373,1.0533935,.037900876,1.0036293,1.274792,.86005831,1.5348854,1.1938455,.090379007,1.3204716,1.286108,.011661808,1.446655
1374,1.0432925,.30000001,.98576212,1.3434627,.54374999,1.5350409,1.2070323,.1,1.3760637,1.2871299,.056249999,1.420072
1375,1.0533935,.063926943,.97834086,1.3488017,.61643833,1.535499,1.2399995,.13242009,1.419633,1.253508,.18721461,1.4583614
1376,1.0533935,.10465116,.98890293,1.3194637,.72093022,1.4908296,1.1960434,.12790698,1.3631535,1.2670168,.046511628,1.4583614
1377,1.0533935,.060150377,.98585868,1.2846131,.7568922,1.4841365,1.1630763,.13032581,1.4887296,1.2327834,.052631579,1.4583614
1378,1.0533935,.025157232,.98021811,1.3482935,.88259959,1.3462288,1.1625268,.067085952,1.4887049,1.2327834,.025157232,1.4583614
1379,1.0533935,.03809524,.97835082,1.3408394,.42539683,1.4314405,1.1499994,.4984127,1.4005175,1.2327834,.03809524,1.4583614
1380,1.0132706,.024861878,.98287207,1.3402362,.79558009,1.4187003,1.1499994,.13259669,1.4100958,1.2285807,.046961326,1.4296442
1381,1.0132706,.1294964,.96683013,1.3403147,.66906476,1.4187003,1.2115381,.086330935,1.433216,1.2262323,.11510792,1.4602759
1382,.91923678,.40336135,.97372007,1.3416718,.47058824,1.4187003,1.2115381,.092436977,1.4396896,1.2642536,.033613447,1.4602759
1383,1.0132706,.074585639,.96596694,1.3319906,.83149171,1.485512,1.2115381,.071823202,1.4396896,1.1736771,.022099448,1.4698483
1384,1.0023282,.034042552,.92962605,1.3026446,.82127661,1.5180417,1.2115381,.068085104,1.4063965,1.1736771,.076595746,1.4664979
1385,1.0023282,.16949153,.91287637,1.3304127,.61016947,1.5171255,1.1983511,.11299435,1.4063965,1.190814,.10734463,1.4655408
1386,1.0023282,.099547513,.91691744,1.3331717,.71493214,1.5198355,1.1653841,.1040724,1.3091301,1.2016211,.081447966,1.4655408
1387,1.0023282,.12849163,.91712022,1.3411968,.65921789,1.5193774,1.1653841,.14525139,1.4017664,1.2412467,.06703911,1.4655408
1388,1.0023282,.15819208,.93800598,1.3440046,.59322035,1.5043044,1.1725268,.16384181,1.4238865,1.2412467,.084745765,1.4444815
1389,1.0169183,.056047197,.92267025,1.3423035,.84660769,1.5321845,1.2192304,.073746316,1.4192781,1.2412467,.02359882,1.4636263
1390,1.0169183,.065326631,.94039488,1.3411986,.39698493,1.5322868,1.1730764,.1356784,1.4192781,1.1782056,.40201005,1.4636263
1391,1.0169183,.070754714,.94062716,1.3476195,.51886791,1.53115,1.1730764,.16509435,1.4284948,1.143183,.24528302,1.2876846
1392,1.0169183,.074906364,.92461699,1.3476195,.41198501,1.5084145,1.148461,.49438202,1.4284948,1.2272376,.018726591,1.4312195
1393,1.0169183,.07692308,.96508789,1.3494951,.68589741,1.4652171,1.1630763,.16025642,1.4283345,1.2260115,.07692308,1.4083816
1394,1.0169183,.0045558088,.97038841,1.3425589,.95444191,1.5284054,1.2048348,.029612755,1.4288281,1.2542071,.011389522,1.4175167
1395,1.0443974,.043902438,.97345817,1.3373567,.5707317,1.5300952,1.1938459,.10243902,1.4472616,1.0762912,.28292683,1.4188493
1396,1.0309033,.084656082,.97210473,1.3320628,.74603176,1.2920042,1.1962633,.11640212,1.465695,1.1627475,.052910052,1.3746017
1397,1.0443974,.027681662,.97210479,1.2791061,.88581318,1.4838822,1.184615,.051903114,1.4654481,1.1195194,.034602076,1.377799
1398,1.0311751,.08139535,.97105992,1.3204886,.68023258,1.5299834,1.138461,.15697674,1.465695,1.1740915,.08139535,1.377799
1399,1.0441643,.038216561,.97016388,1.3203614,.52229297,1.5637399,1.1184609,.37579617,1.4693817,1.1888012,.063694268,1.321161
1400,1.0441643,.024271844,.96903735,1.3203614,.48058254,1.548076,1.1042851,.067961164,1.460165,1.102703,.42718446,1.3366153
1401,1.0377482,.0080645159,.96175981,1.2572554,.63440859,1.542702,1.0476918,.32526881,1.4454182,1.1867576,.032258064,1.3270234
1402,1.0377482,.0625,.9584499,1.3074847,.66477275,1.5486615,1.1515381,.20454545,1.4454182,1.2141387,.06818182,1.3265667
1403,1.0377482,.02739726,.95512348,1.3075678,.84018266,1.5533689,1.1715381,.063926943,1.4550958,1.2005049,.06849315,1.3270234
1404,1.0377482,.053921569,.94432062,1.3047397,.5147059,1.5506772,1.1715381,.098039217,1.4583039,1.1627052,.33333334,1.3269582
1405,1.0381775,.021834061,.93486375,1.285211,.66375548,1.5359942,1.1686809,.091703057,1.4568791,1.1636057,.22270742,1.296747
1406,1.0402437,.022058824,.93542045,1.2573688,.79044116,1.500669,1.1396699,.10294118,1.4497672,1.1776136,.084558822,1.1422917
1407,1.0237863,.03164557,.93557841,1.2328479,.69620252,1.4927672,1.0768126,.20886075,1.4542364,1.1703172,.06329114,1.3115658
1408,.98329294,.053333335,.9356882,1.2032136,.73333335,1.4984467,1.0785708,.16444445,1.4245299,1.1604602,.048888888,1.2812928
1409,.95297098,.041509435,.93348098,1.1699542,.71698111,1.4874609,1.0669225,.21509434,1.336725,1.1316414,.026415095,1.1778905
1410,.95104927,.034042552,.93468696,1.1405206,.80851066,1.4699576,1.0768126,.10212766,1.4253391,1.0515893,.055319149,1.2020543
1411,.96160662,.089655176,.92951441,1.1632923,.73103446,1.5029483,1.0798897,.14482759,1.4257916,1.124987,.034482758,1.2170444
1412,.97913563,.079096042,.90114111,1.1553398,.74011302,1.4872099,1.0284612,.10734463,1.4179798,1.0581516,.073446326,1.2798498
1413,.99469006,.064039409,.89978206,1.1574812,.75369459,1.4598351,1.0284612,.10344828,1.4155335,1.0680858,.078817733,1.3305244
1414,.96453148,.0098425196,.89648163,1.155803,.96259844,1.4503528,1.0289009,.013779528,1.4117199,1.1516966,.013779528,1.2883748
1415,.96392167,.055,.89850789,1.1394658,.84500003,1.4337034,1.0315382,.079999998,1.4112813,1.1535804,.02,1.2735592
1416,.96026284,.15887851,.90194678,1.1645581,.65420562,1.4896332,1.0338459,.12149533,1.4147121,1.1417576,.065420561,1.2420856
1417,.97031826,.047368422,.89845169,1.168224,.7736842,1.4609418,1.0450547,.1,1.4164355,1.062894,.078947365,1.2423506
1418,1.003847,.083333336,.90273547,1.1762993,.67592591,1.5052525,1.0191206,.14814815,1.4267868,1.067214,.09259259,1.2426342
1419,.99475658,.037267081,.87722361,1.1689634,.68944097,1.5008092,1.024615,.1242236,1.4022131,1.0547068,.14906833,1.2285188
1420,.98484516,.0064655175,.9158501,1.162042,.8383621,1.5014441,1.0224172,.049568966,1.2589798,1.0266472,.10560345,1.1906757
1421,.98232812,.074468084,.90541673,1.1310575,.62234044,1.4628257,1.0103294,.25,1.3231215,1.043804,.05319149,1.190544
1422,.96414733,.058479533,.92880076,1.1380922,.61403507,1.4149286,1.0187774,.16374269,1.3109671,1.0002402,.16374269,1.1801375
1423,.94636029,.15469614,.91497338,1.1389332,.5690608,1.4098307,1.0318068,.160221,1.265467,.98935443,.1160221,1.176193
1424,.91548634,.27017543,.91538358,1.128811,.61754388,1.3868806,1.0409206,.052631579,1.3025694,.960078,.059649121,1.1332343
1425,.95219815,.032051284,.92172551,1.1539354,.75641024,1.3260499,1.061029,.14102565,1.2824986,.95397633,.070512824,1.2302094
1426,.92906815,.012048192,.92701739,1.1482311,.63855422,1.3997045,1.0762496,.066265061,1.2081339,.88666648,.28313252,1.2252291
